id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross,sentiment
1,Fifty Shades of Grey,2015,Feb,Drama,R,125,English,Sam Taylor-Johnson,Kelly Marcel,Dakota Johnson,46,41,"209,678",40000000,166167230,11.0
2,Interstellar,2014,Nov,Adventure,PG-13,169,English,Christopher Nolan,Jonathan Nolan,Ellen Burstyn,74,86,"845,024",165000000,188020017,33.0
3,Blackhat,2015,Jan,Action,R,133,English,Michael Mann,Morgan Davis Foehl,Chris Hemsworth,51,54,"35,637",70000000,7097125,8.0
4,Rosewater,2014,Nov,Biography,R,103,English,Jon Stewart,Jon Stewart,Gael García Bernal,67,66,"7,698",5000000,3128941,0
5,God's Pocket,2014,Aug,Crime,R,88,English,John Slattery,Peter Dexter,Christina Hendricks,51,61,"6,968",1000000,23400,0
6,Stonewall,2015,Sep,Drama,R,129,English,Roland Emmerich,Jon Robin Baitz,Joey King,30,41,"1,176",13500000,186354,16.0
7,Jupiter Ascending,2015,Feb,Action,PG-13,127,English,"Andy Wachowski, Lana Wachowski",Andy Wachowski,Mila Kunis,40,54,"129,577",176000000,47387723,6.0
8,Devil's Due,2014,Jan,Horror,R,89,English,"Matt Bettinelli-Olpin, Tyler Gillett",Lindsay Devlin,Allison Miller,34,40,"13,458",7000000,15818967,-31.0
9,How to Train Your Dragon 2,2014,Jun,Animation,PG,102,English,Dean DeBlois,Dean DeBlois,Jay Baruchel,76,79,"207,901",145000000,175859659,28.0
10,A Million Ways to Die in the West,2014,May,Comedy,R,116,English,Seth MacFarlane,Seth MacFarlane,Seth MacFarlane,44,61,"130,286",40000000,42615685,28.0
11,Shaun the Sheep Movie,2015,Aug,Animation,PG,85,N/A,"Mark Burton, Richard Starzak",Mark Burton,Justin Fletcher,81,74,"20,038",25000000,19321230,23.0
12,The Gift,2015,Aug,Mystery,R,108,English,Joel Edgerton,Joel Edgerton,Jason Bateman,77,71,"64,793",5000000,43771291,44.0
13,Inside Out,2015,Jun,Animation,PG,95,English,"Pete Docter, Ronnie Del Carmen",Pete Docter,Amy Poehler,94,83,"287,471",175000000,356454367,28.0
14,Phantom,2015,Mar,History,R,98,English,Todd Robinson,Todd Robinson,Ed Harris,40,58,"11,286",7500000,207921,21.0
15,Rock the Kasbah,2015,Oct,Comedy,R,106,English,Barry Levinson,Mitch Glazer,Bill Murray,29,55,"2,844",15000000,2982281,29.0
16,San Andreas,2015,May,Action,PG-13,114,English,Brad Peyton,Carlton Cuse,Dwayne Johnson,43,61,"127,213",110000000,155181732,4.0
17,The Hobbit: The Battle of the Five Armies,2014,Dec,Adventure,PG-13,144,English,Peter Jackson,Fran Walsh,Ian McKellen,59,75,"330,419",250000000,255119788,39.0
18,Trainwreck,2015,Jul,Comedy,R,125,English,Judd Apatow,Amy Schumer,Colin Quinn,75,64,"76,603",35000000,110008260,6.0
19,Left Behind,2014,Oct,Action,PG-13,110,English,Vic Armstrong,Jerry B. Jenkins,Nicolas Cage,12,31,"23,215",16000000,6300147,-11.0
20,The Revenant,2015,Jan,Adventure,R,156,English,Alejandro González Iñárritu,Mark L. Smith,Leonardo DiCaprio,76,82,"285,372",135000000,159164599,10.0
21,The Book of Life,2014,Oct,Animation,PG,95,English,Jorge R. Gutiérrez,Jorge R. Gutiérrez,Diego Luna,67,73,"41,746",50000000,50150619,29.0
22,The DUFF,2015,Feb,Comedy,PG-13,101,English,Ari Sandel,Josh A. Cagan,Mae Whitman,56,66,"45,821",8500000,34017854,45.0
23,Dracula Untold,2014,Oct,Action,PG-13,92,English,Gary Shore,Matt Sazama,Luke Evans,40,63,"130,900",70000000,56280355,26.0
24,Minions,2015,Jul,Animation,PG,91,English,"Kyle Balda, Pierre Coffin",Brian Lynch,Sandra Bullock,56,65,"124,840",74000000,336045770,27.0
