id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"1","Something Borrowed","2011","May","Comedy","PG-13","112","English","Luke Greenfield","Jennie Snyder Urman","Ginnifer Goodwin","36","59","46414","35000000","39026186"
"2","The Purge","2013","Jun","Horror","R","85","English","James DeMonaco","James DeMonaco","Ethan Hawke","41","56","126466","3000000","64423650"
"3","Source Code","2011","Apr","Mystery","PG-13","93","English","Duncan Jones","Ben Ripley","Jake Gyllenhaal","74","75","364107","28000000","54712227"
"4","Interstellar","2014","Nov","Adventure","PG-13","169","English","Christopher Nolan","Jonathan Nolan","Ellen Burstyn","74","86","845024","165000000","188020017"
"5","Creature","2011","Sep","Horror","R","93","English","Fred Andrews","Fred Andrews","Mehcad Brooks","31","37","2454","3000000","327000"
"6","Dark Horse","2011","Jun","Comedy","NOT RATED","86","English","Todd Solondz","Todd Solondz","Melisa Young","66","59","4232","2000000","159023"
"7","God's Pocket","2014","Aug","Crime","R","88","English","John Slattery","Peter Dexter","Christina Hendricks","51","61","6968","1000000","23400"
"8","Jupiter Ascending","2015","Feb","Action","PG-13","127","English","Andy Wachowski, Lana Wachowski","Andy Wachowski","Mila Kunis","40","54","129577","176000000","47387723"
"9","Never Let Me Go","2010","Oct","Drama","R","103","English","Mark Romanek","Kazuo Ishiguro","Carey Mulligan","69","72","106212","15000000","2434652"
"10","Monumental: In Search of America's National Treasure","2012","Mar","Documentary","PG","90","English","Duane James Barnhart","Kevin Miller","Kirk Cameron","N/A","50","603","500000","177729"
"11","Salvation Boulevard","2011","Jul","Action","R","96","English","George Ratliff","Douglas Stone","Jennifer Connelly","35","53","3683","9000000","27445"
"12","The Smurfs","2011","Jul","Animation","PG","103","English","Raja Gosnell","J. David Stem","Hank Azaria","30","55","64638","110000000","142614158"
"13","How to Train Your Dragon 2","2014","Jun","Animation","PG","102","English","Dean DeBlois","Dean DeBlois","Jay Baruchel","76","79","207901","145000000","175859659"
"14","The Sapphires","2012","Aug","Biography","PG-13","103","English","Wayne Blair","Tony Briggs","Tanika Lonesborough","67","71","10179","10000000","2448455"
"15","The Ides of March","2011","Oct","Drama","R","101","English","George Clooney","George Clooney","Ryan Gosling","67","71","184754","12500000","40962534"
"16","Filth","2013","Apr","Comedy","R","97","English","Jon S. Baird","Jon S. Baird","James McAvoy","56","71","67819","5000000","34321"
"17","Phantom","2015","Mar","History","R","98","English","Todd Robinson","Todd Robinson","Ed Harris","40","58","11286","7500000","207921"
"18","San Andreas","2015","May","Action","PG-13","114","English","Brad Peyton","Carlton Cuse","Dwayne Johnson","43","61","127213","110000000","155181732"
"19","Valentine's Day","2010","Feb","Comedy","PG-13","125","English","Garry Marshall","Katherine Fugate","Jessica Alba","34","57","92368","52000000","110476776"
